Keyword,Day_of_Week,Video_Count,Avg_Views,Avg_Engagement,Median_Views,Norm_Avg_Views,Norm_Avg_Engagement,Norm_Video_Count,Timing_Opportunity_Score
sat,Sunday,5,1176057.6,3.6919183097863857,488575.0,0.001998542818927621,0.35082134251686187,0.07142857142857142,0.16591180554396243
tech,Wednesday,11,1615439.0909090908,3.27270248052764,78520.0,0.002753052455496904,0.30135550849723397,0.2857142857142857,0.16542028100015746
cnn,Wednesday,14,341183.78571428574,3.0790567131351625,271524.5,0.0005648903978968542,0.27850606265121947,0.39285714285714285,0.16486764315781663
sat,Thursday,8,520332.25,3.440470049929007,58140.0,0.0008725256658288082,0.3211514278368215,0.17857142857142858,0.16276792193333547
cubes,Tuesday,10,21935009.1,2.9474909739387423,3583824.0,0.03764599105216479,0.262981818184432,0.25,0.16028251415646855
history,Friday,5,5013469.0,3.5269411558768624,708445.0,0.00858817834224074,0.3313546813300722,0.07142857142857142,0.16011714399539795
tutorial,Friday,10,2790066.5,3.2167473511876934,1066884.5,0.004770132641791943,0.2947530213121228,0.25,0.15978541927926163
cnn,Tuesday,6,512394.0,3.515126710008803,524513.5,0.0008588940353518307,0.3299606227627307,0.10714285714285714,0.15958306827342283
sat,Wednesday,6,253131.16666666666,3.515211167248019,165447.0,0.0004136856908912546,0.32997058838779836,0.10714285714285714,0.15938720904969603
mathchemistry,Monday,3,501078.6666666667,3.705078082787603,63.0,0.0008394632486263152,0.35237414444269854,0.0,0.15894612346109618
bed,Wednesday,11,119619721.45454545,1.4285397131741788,35695760.0,0.20539101068079688,0.08375148930648925,0.2857142857142857,0.15868555356570735
cnn,Sunday,7,692824.2857142857,3.426076771140425,462943.0,0.0011687304579528562,0.3194530770354857,0.14285714285714285,0.15856552765776163
tech,Thursday,6,1230964.3333333333,3.476537206450597,1085822.0,0.002092829128819339,0.32540721173985665,0.10714285714285714,0.1580893041051899
tutorial,Sunday,6,7496832.5,3.3599746199352594,4037129.0,0.012852631284893487,0.31165328081682503,0.10714285714285714,0.15674194616005904
how-to,Sunday,5,1579460.4,3.5058845462502406,855958.0,0.002691269541187313,0.32887008345921337,0.07142857142857142,0.15634546599303745
biology,Tuesday,3,5594914.333333333,3.564288835871848,1152562.0,0.009586641218386354,0.3357615620123135,0.0,0.15540669145381494
literature,Wednesday,6,544670.6666666666,3.4340083273446145,555965.0,0.0009143198021176258,0.3203889697554899,0.10714285714285714,0.15530076601520912
data science,Thursday,9,403567.55555555556,3.2228517020533776,309718.0,0.0006720163385307465,0.29547331092345125,0.21428571428571427,0.15469396869646332
news,Wednesday,19,119516.05263157895,2.5121008763986876,60835.0,0.0001842406796273731,0.21160748354447484,0.5714285714285714,0.15244913304370314
marvel,Monday,7,10108918.42857143,3.1555840992728483,3487219.0,0.017338127477681316,0.28753599596107615,0.14285714285714285,0.15147906983315515
data science,Wednesday,7,371433.0,3.2784902884368377,151345.0,0.0006168346061747193,0.30203844727337725,0.14285714285714285,0.1504805911315127
