Title,Video ID,Published At,Keyword,Likes,Comments,Views,Year,Month,Day,Day_of_Week,Engagement_Rate,Like_Rate,Comment_Rate,Total_Comments,Total_Comment_Likes,Avg_Sentiment
🔴 Live at 12 ප්‍රධාන ප්‍රවෘත්ති විකාශය - 2022-08-24,bLHeJmGUyWQ,2022-08-24,news,180.0,16.0,13976.0,2022,8,24,Wednesday,1.4023037847892965,1.28783000643915,0.11447377835014666,10,0.0,0.9
"Inside the war in Ukraine, 6 months since Russia invaded",h4VjpOOWzZ0,2022-08-21,news,1102.0,668.0,106690.0,2022,8,21,Sunday,1.6589965414139898,1.032889372111987,0.6261071693020029,10,100.0,0.8
"T. Raja Singh News: T. Raja Singh को जमानत मिली, टी राजा ने दिया था विवादित बयान| Latest News",CBNHQyXOcjE,2022-08-23,news,1688.0,796.0,89985.0,2022,8,23,Tuesday,2.760429400128909,1.8758473540328495,0.8845820460960594,10,243.0,1.0
Why Netflix is Now Making Video Games,Ccc0GvjuqkQ,2022-08-23,gaming,8384.0,1307.0,176151.0,2022,8,23,Tuesday,5.501498705663291,4.759525864026522,0.7419728416367682,10,1611.0,0.7
My New House Gaming Setup is SICK!,4mgePWWCAmA,2022-08-23,gaming,63825.0,3338.0,1564007.0,2022,8,23,Tuesday,4.294287497250653,4.0808614789694175,0.2134260182812364,10,6262.0,1.9
ROBLOX ATHLETES TYCOON,wXjxEphvceM,2022-08-24,gaming,4163.0,618.0,133933.0,2022,8,24,Wednesday,3.5696686427643467,3.1082473457075874,0.46142129705675927,10,223.0,1.9
Naik Wahana Roller Coaster! - Runner Coaster,iRxsHyRJnnQ,2022-08-24,gaming,2925.0,121.0,99244.0,2022,8,24,Wednesday,3.0691722504912087,2.9472517507179203,0.12192049977328832,10,38.0,1.3
I OPENED MY OWN ARCADE SHOP,WBK2_lD7KGA,2022-08-24,gaming,298406.0,15609.0,3773387.0,2022,8,24,Wednesday,8.321831733179836,7.908171648396613,0.413660084783224,4,35.0,2.0
[VOD 7] DU SANG ET DES CRÂNES ! Campagne légendaire Valkia sur Immortal Empire,RRaznaiwf9A,2022-08-24,gaming,549.0,29.0,16307.0,2022,8,24,Wednesday,3.5442727495707627,3.36644591611479,0.17782683345597253,10,15.0,1.1
What in FORTNITE is DRAGON BALL Z?! (Quests) K-CITY GAMING,YeqhIN6Dg_U,2022-08-22,gaming,2170.0,282.0,126228.0,2022,8,22,Monday,1.9425013269533942,1.719097830134121,0.22340349681927288,10,60.0,1.8
"Tonnenweise GANZ NEUE Games, Monkey Island 5 Release uvm. - Opening Night Live | gamescom 2022",4ndP7aEL48w,2022-08-23,gaming,1365.0,256.0,46436.0,2022,8,23,Tuesday,3.49075090983483,2.939466373796757,0.5512845360380731,10,256.0,1.3
Free Fire | Bất Ngờ Nhận FREE 900 Kim Cương Mua Đồ Cực Ngon - Garena Hứa Sẽ Sửa Vòng Quay Ma Thuật,aVYgohhJTwo,2022-08-24,gaming,3516.0,306.0,121644.0,2022,8,24,Wednesday,3.1419293846849436,2.890377738501377,0.25155164618356696,10,34.0,1.1
